120, 70, 29.418275827089833, 644, 1274, 39, 2066, 0, 1670165475985, 1670165480155, [110, 12, 25], [1, 0], 45.95147163261512
130, 60, 31.563724784973566, 650, 1202, 31, 1988, 1, 1670165552936, 1670165556485, [120, 11, 25], [1, -1], 38.64709908206775
140, 60, 41.04889608177821, 637, 1137, 35, 1598, 0, 1670165608859, 1670165611447, [130, 9, 25], [1, 0], 37.444040614871355
140, 70, 36.66983015358784, 530, 1073, 27, 1662, 0, 1670165654363, 1670165657043, [140, 11, 25], [0, 1], 51.723170686262144
140, 80, 22.921763785151597, 757, 1590, 31, 2956, 0, 1670165703268, 1670165710873, [140, 10, 25], [0, 1], 47.131624970258315
140, 70, 23.055502343858144, 827, 1510, 44, 2833, 0, 1670165753857, 1670165785995, [140, 9, 25], [0, -1], 38.07567665158586
140, 60, 25.574027605599763, 912, 1563, 38, 2346, 0, 1670165845556, 1670165849377, [140, 9, 25], [0, -1], 29.577161631337255
140, 70, 33.19165234056615, 592, 1176, 27, 1952, 0, 1670165888506, 1670165891872, [140, 10, 24], [0, 1], 48.29140794827336
150, 70, 37.57005947440958, 588, 1217, 34, 1763, 0, 1670165944305, 1670165948460, [140, 9, 24], [1, 0], 47.40747239783589
150, 60, 29.08261513465512, 637, 1476, 14, 2214, 0, 1670165988954, 1670165992443, [150, 9, 25], [0, -1], 39.823160712963116
150, 50, 27.702990400479763, 782, 1306, 40, 2386, 0, 1670166035952, 1670166038021, [150, 11, 24], [0, -1], 28.00141695586604
150, 40, 28.209700259478957, 585, 1404, 10, 2217, 0, 1670166082310, 1670166085730, [150, 9, 24], [0, -1], 28.659913966167288
150, 40, 43.73435769499288, 474, 845, 19, 1481, 0, 1670166125976, 1670166128668, [150, 10, 25], [0, 0], 30.819612263637776
150, 50, 30.02980754881567, 707, 1342, 12, 2147, 0, 1670166173021, 1670166176549, [150, 9, 25], [0, 1], 30.225388417215388
160, 40, 28.17021429184582, 811, 1422, 41, 2202, 0, 1670166232746, 1670166236072, [150, 10, 25], [1, -1], 21.652500260028372
170, 30, 27.800795836463873, 548, 1032, 46, 2399, 0, 1670166295742, 1670166299581, [160, 11, 25], [1, -1], 22.754744483887215
160, 30, 33.55736269113461, 674, 1283, 30, 1932, 0, 1670166353791, 1670166357294, [170, 11, 25], [-1, 0], 18.559086142939808
170, 20, 25.315015557381933, 949, 1817, 46, 2670, 0, 1670166413689, 1670166420403, [160, 11, 25], [1, -1], 9.521451266814488
160, 30, 34.44540485940261, 644, 1154, 33, 1825, 0, 1670166478052, 1670166481847, [170, 11, 25], [-1, 1], 19.18694380508784
170, 30, 30.31804322267866, 657, 1272, 25, 2143, 0, 1670166538345, 1670166541984, [160, 12, 25], [1, 0], 19.27346309233429
180, 40, 50.28702118456475, 480, 845, 24, 1496, 0, 1670166592838, 1670166596184, [170, 11, 25], [1, 1], 29.362190760156494
180, 50, 44.50444252020189, 549, 1184, 22, 1343, 0, 1670166635603, 1670166637954, [180, 12, 25], [0, 1], 34.387054937077075
170, 60, 27.26607282721601, 838, 1599, 49, 2405, 0, 1670166693050, 1670166697443, [180, 10, 24], [-1, 1], 31.676835749492067
170, 50, 27.92141653349134, 793, 1391, 41, 2243, 0, 1670166737012, 1670166758594, [170, 12, 24], [0, -1], 27.633907483948146
170, 40, 33.424705942171435, 816, 1332, 42, 1905, 2, 1670166816487, 1670166817870, [170, 10, 24], [0, -1], 21.05930796105873
180, 30, 26.946437116720528, 785, 1588, 36, 2631, 0, 1670166877970, 1670166882969, [170, 9, 24], [1, -1], 16.801343464272854
170, 40, 29.430096966144085, 811, 1036, 62, 2678, 0, 1670166957519, 1670166961167, [180, 13, 24], [-1, 1], 21.53500694217165
170, 40, 37.09069766462065, 492, 852, 22, 1768, 0, 1670167027407, 1670167029410, [170, 11, 25], [0, 0], 31.23229564827475
180, 40, 18.119365941711436, 1163, 2566, 21, 3357, 0, 1670167093248, 1670167104020, [170, 10, 25], [1, 0], 16.18807350724312
190, 40, 31.614722580045274, 819, 1468, 31, 1997, 0, 1670167159159, 1670167162518, [180, 11, 25], [1, 0], 21.153748941137955
180, 50, 20.08089862574166, 1141, 2474, 48, 2818, 0, 1670167223928, 1670167236642, [190, 10, 25], [-1, 1], 20.46959553759712
190, 50, 22.102143466811487, 973, 2031, 27, 2823, 0, 1670167294659, 1670167306572, [180, 12, 25], [1, 0], 23.55360660872788
190, 40, 28.050922547456917, 872, 1653, 44, 2213, 0, 1670167367597, 1670167371336, [190, 10, 25], [1, -1], 20.32099676048005
180, 30, 27.26821570624204, 864, 1721, 33, 2326, 0, 1670167432421, 1670167435515, [190, 10, 24], [-1, -1], 15.415084083686065
190, 20, 28.85738526588917, 686, 1346, 54, 2053, 0, 1670167491737, 1670167495346, [180, 11, 25], [1, -1], 12.477703263507426
190, 20, 30.745477530444774, 658, 1202, 21, 2081, 0, 1670167535737, 1670167539473, [190, 13, 24], [0, 0], 12.804393892351095
