60, 50, 187.89096146514353, 87, 190, 11, 664, 0, 1675814198591, 1675814199696, [60, 4, 5], [0, -1], 174.6198526627728
70, 50, 190.47619047619045, 20, 36, 8, 55, 0, 1675814238120, 1675814239191, [60, 5, 5], [1, 0], 821.0180623973727
80, 60, 192.12295869356387, 16, 30, 7, 58, 0, 1675814277623, 1675814279030, [70, 5, 5], [1, 1], 1021.930631348744
90, 50, 190.30339902512512, 12, 25, 7, 44, 0, 1675814317462, 1675814318628, [80, 4, 5], [1, -1], 1303.447938528254
90, 60, 182.06671757592588, 18, 37, 7, 133, 0, 1675814357275, 1675814358436, [90, 4, 5], [0, 1], 835.1684292473664
80, 60, 188.94868842655814, 26, 59, 7, 162, 0, 1675814396940, 1675814398012, [90, 4, 5], [-1, 0], 579.5972037624482
90, 50, 191.9387564321127, 11, 16, 7, 30, 0, 1675814436510, 1675814437550, [80, 4, 5], [1, -1], 1599.4896369342725
80, 60, 192.49295983400032, 15, 28, 7, 146, 0, 1675814476507, 1675814477545, [90, 3, 5], [-1, 1], 1093.70999905682
90, 50, 182.8764764684446, 135, 230, 19, 644, 0, 1675814516930, 1675814518045, [80, 4, 5], [1, -1], 118.75095874574325
90, 60, 145.3326643167108, 192, 340, 12, 740, 0, 1675814557186, 1675814558931, [90, 4, 5], [0, 1], 65.58333227288394
100, 50, 189.23169604054607, 15, 31, 7, 53, 0, 1675814597328, 1675814598484, [90, 6, 6], [1, -1], 1039.734593629374
110, 60, 191.84656691258607, 15, 28, 7, 47, 0, 1675814636941, 1675814638004, [100, 5, 5], [1, 1], 1090.0373120033298
100, 60, 189.1348088531187, 16, 30, 8, 43, 0, 1675814676526, 1675814677577, [110, 4, 5], [-1, 0], 1006.0362173038229
90, 60, 191.48027359038804, 11, 16, 7, 32, 0, 1675814716231, 1675814717274, [100, 3, 5], [-1, 0], 1595.668946586567
80, 50, 191.4795715403977, 30, 72, 7, 350, 0, 1675814756464, 1675814757508, [90, 4, 5], [-1, -1], 498.64471755311905
80, 50, 190.3859188725819, 56, 104, 10, 460, 0, 1675814796508, 1675814797558, [80, 4, 5], [0, -1], 290.222437305765
70, 60, 169.08469858042707, 93, 149, 12, 487, 0, 1675814836664, 1675814837952, [80, 4, 6], [-1, 1], 162.26938443419107
80, 50, 188.5973726189693, 17, 31, 7, 131, 0, 1675814876514, 1675814877556, [70, 5, 5], [1, -1], 952.5119829240873
70, 50, 176.37625284359348, 37, 71, 9, 242, 0, 1675814916510, 1675814917559, [80, 5, 6], [-1, 0], 402.6855087753275
60, 60, 187.12283327425573, 77, 127, 8, 281, 0, 1675814956106, 1675814957191, [70, 4, 5], [-1, 1], 215.0837164071905
70, 70, 189.8437640783522, 17, 31, 7, 57, 0, 1675814995745, 1675814996783, [60, 5, 6], [1, 1], 958.8068892846071
70, 80, 190.30339902512512, 15, 21, 7, 39, 0, 1675815035490, 1675815036535, [70, 5, 6], [0, 1], 1174.7123396612662
60, 90, 191.0221417833112, 14, 27, 8, 54, 0, 1675815074970, 1675815076017, [70, 4, 5], [-1, 1], 1150.7357938753687
60, 80, 191.66623808859077, 25, 40, 7, 140, 0, 1675815114452, 1675815115571, [60, 4, 5], [0, -1], 684.5222788878242
60, 70, 164.95603642099962, 87, 163, 17, 476, 0, 1675815155110, 1675815156161, [60, 4, 5], [0, -1], 161.40512369960823
70, 80, 171.602332215108, 38, 71, 12, 255, 0, 1675815194864, 1675815196149, [60, 5, 5], [1, 1], 384.758592410556
60, 90, 180.7425540595675, 55, 98, 11, 203, 0, 1675815234891, 1675815235967, [70, 5, 5], [-1, 1], 284.18640575403697
70, 80, 186.63878691752637, 44, 74, 10, 260, 0, 1675815275165, 1675815276209, [60, 5, 6], [1, -1], 373.27757383505275
60, 70, 168.6945227459383, 138, 240, 13, 527, 0, 1675815315534, 1675815316852, [70, 5, 6], [-1, -1], 106.49906739011254
60, 60, 191.5715842823222, 13, 24, 7, 45, 0, 1675815355308, 1675815356356, [60, 5, 6], [0, -1], 1260.3393702784354
60, 70, 190.12798396563238, 17, 31, 7, 140, 0, 1675815395112, 1675815396152, [60, 5, 6], [0, 1], 960.2423432607695
50, 60, 191.84691995980876, 24, 41, 8, 63, 0, 1675815434758, 1675815435800, [60, 4, 6], [-1, -1], 700.1712407292289
50, 60, 183.36257722740993, 52, 88, 10, 142, 0, 1675815459327, 1675815460403, [50, 4, 6], [0, 0], 309.73408315440867
